date,reservoir,data_type,inflow
1999-03-30,LCR,Ground_Truth,8.0
1999-03-31,ECH,AdaTrip,173.7301788330078
1999-03-31,ECH,GCN_LSTM,163.8678436279297
1999-03-31,ECH,Ground_Truth,253.0
1999-03-31,ECR,AdaTrip,79.31854248046875
1999-03-31,ECR,GCN_LSTM,125.25527954101562
1999-03-31,ECR,Ground_Truth,111.0
1999-03-31,LCR,AdaTrip,69.91932678222656
1999-03-31,LCR,GCN_LSTM,109.54529571533203
1999-03-31,LCR,Ground_Truth,9.0
1999-04-01,ECH,AdaTrip,185.92848205566406
1999-04-01,ECH,GCN_LSTM,153.72708129882812
1999-04-01,ECH,Ground_Truth,254.0
1999-04-01,ECR,AdaTrip,90.26789855957031
1999-04-01,ECR,GCN_LSTM,115.59608459472656
1999-04-01,ECR,Ground_Truth,80.0
1999-04-01,LCR,AdaTrip,66.77450561523438
1999-04-01,LCR,GCN_LSTM,106.65961456298828
1999-04-01,LCR,Ground_Truth,11.0
1999-04-02,ECH,AdaTrip,187.11228942871094
1999-04-02,ECH,GCN_LSTM,149.69387817382812
1999-04-02,ECH,Ground_Truth,192.0
1999-04-02,ECR,AdaTrip,82.8177719116211
1999-04-02,ECR,GCN_LSTM,116.88519287109375
1999-04-02,ECR,Ground_Truth,80.0
1999-04-02,LCR,AdaTrip,92.95833587646484
1999-04-02,LCR,GCN_LSTM,96.2986068725586
1999-04-02,LCR,Ground_Truth,37.0
1999-04-03,ECH,AdaTrip,184.5796661376953
1999-04-03,ECH,GCN_LSTM,152.1056671142578
1999-04-03,ECH,Ground_Truth,193.0
1999-04-03,ECR,AdaTrip,79.55070495605469
1999-04-03,ECR,GCN_LSTM,119.37960052490234
1999-04-03,ECR,Ground_Truth,80.0
1999-04-03,LCR,AdaTrip,84.27880859375
1999-04-03,LCR,GCN_LSTM,98.03520202636719
1999-04-03,LCR,Ground_Truth,43.0
1999-04-04,ECH,AdaTrip,174.32981872558594
1999-04-04,ECH,GCN_LSTM,146.4920654296875
1999-04-04,ECH,Ground_Truth,190.0
1999-04-04,ECR,AdaTrip,67.72396087646484
1999-04-04,ECR,GCN_LSTM,117.68755340576172
1999-04-04,ECR,Ground_Truth,65.0
1999-04-04,LCR,AdaTrip,80.09355926513672
1999-04-04,LCR,GCN_LSTM,94.52823638916016
1999-04-04,LCR,Ground_Truth,43.0
1999-04-05,ECH,AdaTrip,167.39735412597656
1999-04-05,ECH,GCN_LSTM,148.93115234375
1999-04-05,ECH,Ground_Truth,179.0
1999-04-05,ECR,AdaTrip,60.40434646606445
1999-04-05,ECR,GCN_LSTM,118.95805358886719
1999-04-05,ECR,Ground_Truth,65.0
1999-04-05,LCR,AdaTrip,70.5082015991211
